sexo,permiso,anyo,total
M,A,2000,13842
M,A,2001,14009
M,A,2002,14212
M,A,2003,14420
M,A,2004,14700
M,A,2005,15020
M,A,2006,15501
M,A,2007,16084
M,A,2008,16733
M,A,2009,17680
M,A,2010,19024
M,A,2011,19925
M,A,2012,20454
M,A,2013,20967
M,A,2014,21486
M,A,2015,21936
M,A,2016,22542
M,A,2017,23300
M,A,2018,24175
M,A,2019,24379
M,A1,2000,2258
M,A1,2001,2381
M,A1,2002,2534
M,A1,2003,2722
M,A1,2004,2829
M,A1,2005,2883
M,A1,2006,2939
M,A1,2007,2982
M,A1,2008,3036
M,A1,2009,3086
M,A1,2010,3118
M,A1,2011,3150
M,A1,2012,3182
M,A1,2013,3210
M,A1,2014,3243
M,A1,2015,3269
M,A1,2016,3305
M,A1,2017,3345
M,A1,2018,3388
M,A1,2019,3397
M,A2,2000,13807
M,A2,2001,13971
M,A2,2002,14174
M,A2,2003,14382
M,A2,2004,14662
M,A2,2005,14979
M,A2,2006,15459
M,A2,2007,16040
M,A2,2008,16689
M,A2,2009,17631
M,A2,2010,18972
M,A2,2011,19869
M,A2,2012,20393
M,A2,2013,20903
M,A2,2014,21412
M,A2,2015,21861
M,A2,2016,22467
M,A2,2017,23212
M,A2,2018,24071
M,A2,2019,24269
M,AM,2000,4852
M,AM,2001,4879
M,AM,2002,4916
M,AM,2003,4955
M,AM,2004,4996
M,AM,2005,5052
M,AM,2006,5125
M,AM,2007,5199
M,AM,2008,5251
M,AM,2009,5267
M,AM,2010,5289
M,AM,2011,5307
M,AM,2012,5331
M,AM,2013,5352
M,AM,2014,5382
M,AM,2015,5412
M,AM,2016,5457
M,AM,2017,5520
M,AM,2018,5635
M,AM,2019,5659
M,B,2000,375163
M,B,2001,388590
M,B,2002,404828
M,B,2003,422343
M,B,2004,441371
M,B,2005,459698
M,B,2006,480699
M,B,2007,499918
M,B,2008,519304
M,B,2009,539514
M,B,2010,558709
M,B,2011,575147
M,B,2012,590635
M,B,2013,604318
M,B,2014,617275
M,B,2015,631002
M,B,2016,646286
M,B,2017,661330
M,B,2018,678400
M,B,2019,682351
M,BTP,2000,148
M,BTP,2001,152
M,BTP,2002,155
M,BTP,2003,166
M,BTP,2004,215
M,BTP,2005,271
M,BTP,2006,294
M,BTP,2007,318
M,BTP,2008,348
M,BTP,2009,456
M,BTP,2010,527
M,BTP,2012,529
M,BTP,2013,530
M,BTP,2014,706
M,BTP,2015,1022
M,C,2000,94
M,C,2001,110
M,C,2002,124
M,C,2003,154
M,C,2004,194
M,C,2005,229
M,C,2006,307
M,C,2007,396
M,C,2008,488
M,C,2009,602
M,C,2010,673
M,C,2011,719
M,C,2012,759
M,C,2013,787
M,C,2014,813
M,C,2015,861
M,C,2016,913
M,C,2017,980
M,C,2018,1054
M,C,2019,1078
M,C1,2000,263
M,C1,2001,266
M,C1,2002,267
M,C1,2003,268
M,C1,2004,272
M,C1,2005,274
M,C1,2006,276
M,C1,2007,280
M,C1,2008,285
M,C1,2009,287
M,C1,2010,290
M,C1,2011,292
M,C1,2013,293
M,C1,2014,299
M,C1,2015,306
M,C1,2016,311
M,C1,2018,312
M,C1,2019,313
M,D ,2000,10
M,D ,2001,17
M,D ,2002,31
M,D ,2003,49
M,D ,2004,76
M,D ,2005,111
M,D ,2006,150
M,D ,2007,216
M,D ,2008,284
M,D ,2009,328
M,D ,2010,380
M,D ,2011,411
M,D ,2012,427
M,D ,2013,431
M,D ,2014,447
M,D ,2015,466
M,D ,2016,484
M,D ,2017,509
M,D ,2018,551
M,D ,2019,565
M,D,2000,124
M,D,2001,129
M,D,2002,135
M,D,2003,145
M,D,2004,156
M,D,2005,168
M,D,2006,194
M,D,2007,216
M,D,2008,236
M,D,2009,255
M,D,2010,293
M,D,2011,310
M,D,2012,324
M,D,2013,332
M,D,2014,346
M,D,2015,359
M,D,2016,375
M,D,2017,390
M,D,2018,421
M,D,2019,429
M,D1,2000,5
M,D1,2007,6
M,D1,2013,8
M,D1,2014,11
M,D1,2016,13
M,D1,2017,21
M,D1,2018,22
M,D1,2019,26
M,LVA,2000,1
M,LVA,2015,2
M,Otros,2000,27860
M,Otros,2001,29029
M,Otros,2002,30321
M,Otros,2003,31629
M,Otros,2004,32946
M,Otros,2005,34293
M,Otros,2006,35766
M,Otros,2007,37176
M,Otros,2008,38664
M,Otros,2009,39845
M,Otros,2010,40843
M,Otros,2011,41628
M,Otros,2012,42247
M,Otros,2013,42794
M,Otros,2014,43267
M,Otros,2015,43723
M,Otros,2016,44084
M,Otros,2017,44376
M,Otros,2018,44654
M,Otros,2019,44728
V,A,2000,133965
V,A,2001,135366
V,A,2002,137261
V,A,2003,139372
V,A,2004,141814
V,A,2005,144480
V,A,2006,147788
V,A,2007,151779
V,A,2008,156807
V,A,2009,163228
V,A,2010,170619
V,A,2011,175749
V,A,2012,178353
V,A,2013,181068
V,A,2014,184020
V,A,2015,187229
V,A,2016,191703
V,A,2017,197263
V,A,2018,203981
V,A,2019,205523
V,A1,2000,5993
V,A1,2001,6266
V,A1,2002,6550
V,A1,2003,6828
V,A1,2004,7065
V,A1,2005,7151
V,A1,2006,7265
V,A1,2007,7392
V,A1,2008,7530
V,A1,2009,7641
V,A1,2010,7717
V,A1,2011,7819
V,A1,2012,7943
V,A1,2013,8023
V,A1,2014,8112
V,A1,2015,8204
V,A1,2016,8332
V,A1,2017,8440
V,A1,2018,8605
V,A1,2019,8630
V,A2,2000,133481
V,A2,2001,134875
V,A2,2002,136761
V,A2,2003,138867
V,A2,2004,141301
V,A2,2005,143955
V,A2,2006,147239
V,A2,2007,151208
V,A2,2008,156209
V,A2,2009,162598
V,A2,2010,169962
V,A2,2011,175065
V,A2,2012,177665
V,A2,2013,180364
V,A2,2014,183309
V,A2,2015,186499
V,A2,2016,190970
V,A2,2017,196527
V,A2,2018,203219
V,A2,2019,204757
V,AM,2000,17205
V,AM,2001,17321
V,AM,2002,17429
V,AM,2003,17533
V,AM,2004,17646
V,AM,2005,17807
V,AM,2006,17989
V,AM,2007,18183
V,AM,2008,18324
V,AM,2009,18373
V,AM,2010,18444
V,AM,2011,18491
V,AM,2012,18541
V,AM,2013,18608
V,AM,2014,18680
V,AM,2015,18766
V,AM,2016,18871
V,AM,2017,19020
V,AM,2018,19232
V,AM,2019,19279
V,B,2000,475496
V,B,2001,486644
V,B,2002,499404
V,B,2003,514454
V,B,2004,534225
V,B,2005,550687
V,B,2006,570886
V,B,2007,591261
V,B,2008,614183
V,B,2009,637646
V,B,2010,660195
V,B,2011,678676
V,B,2012,694617
V,B,2013,710009
V,B,2014,725013
V,B,2015,741533
V,B,2016,760377
V,B,2017,780008
V,B,2018,802586
V,B,2019,807494
V,BTP,2000,1141
V,BTP,2001,1161
V,BTP,2002,1179
V,BTP,2003,1223
V,BTP,2004,1402
V,BTP,2005,1611
V,BTP,2006,1662
V,BTP,2007,1769
V,BTP,2008,1871
V,BTP,2009,2245
V,BTP,2010,2547
V,BTP,2011,2555
V,BTP,2012,2564
V,BTP,2013,2571
V,BTP,2014,3057
V,BTP,2015,3856
V,C,2000,6473
V,C,2001,6795
V,C,2002,7187
V,C,2003,7692
V,C,2004,8471
V,C,2005,9113
V,C,2006,10055
V,C,2007,11171
V,C,2008,12306
V,C,2009,13374
V,C,2010,14200
V,C,2011,14726
V,C,2012,15104
V,C,2013,15351
V,C,2014,15756
V,C,2015,16165
V,C,2016,16770
V,C,2017,17360
V,C,2018,18160
V,C,2019,18394
V,C1,2000,5676
V,C1,2001,5703
V,C1,2002,5723
V,C1,2003,5742
V,C1,2004,5759
V,C1,2005,5780
V,C1,2006,5816
V,C1,2007,5845
V,C1,2008,5875
V,C1,2009,5907
V,C1,2010,5953
V,C1,2011,5965
V,C1,2012,5972
V,C1,2013,5988
V,C1,2014,6000
V,C1,2015,6021
V,C1,2016,6028
V,C1,2017,6046
V,C1,2018,6073
V,C1,2019,6076
V,D ,2000,136
V,D ,2001,204
V,D ,2002,299
V,D ,2003,382
V,D ,2004,502
V,D ,2005,661
V,D ,2006,815
V,D ,2007,1014
V,D ,2008,1224
V,D ,2009,1435
V,D ,2010,1632
V,D ,2011,1796
V,D ,2012,1932
V,D ,2013,1993
V,D ,2014,2063
V,D ,2015,2144
V,D ,2016,2226
V,D ,2017,2317
V,D ,2018,2493
V,D ,2019,2545
V,D,2000,11226
V,D,2001,11390
V,D,2002,11618
V,D,2003,11838
V,D,2004,12172
V,D,2005,12479
V,D,2006,12842
V,D,2007,13188
V,D,2008,13637
V,D,2009,14067
V,D,2010,14494
V,D,2011,14784
V,D,2012,14983
V,D,2013,15124
V,D,2014,15296
V,D,2015,15467
V,D,2016,15686
V,D,2017,15909
V,D,2018,16205
V,D,2019,16287
V,D1,2000,19
V,D1,2001,20
V,D1,2002,24
V,D1,2003,27
V,D1,2004,28
V,D1,2005,32
V,D1,2006,33
V,D1,2007,35
V,D1,2008,41
V,D1,2009,44
V,D1,2010,46
V,D1,2013,50
V,D1,2014,53
V,D1,2015,64
V,D1,2016,71
V,D1,2017,78
V,D1,2018,89
V,LVA,2000,14
V,LVA,2015,15
V,LVA,2018,16
V,Otros,2000,42905
V,Otros,2001,45071
V,Otros,2002,47372
V,Otros,2003,49732
V,Otros,2004,52253
V,Otros,2005,54864
V,Otros,2006,57634
V,Otros,2007,60743
V,Otros,2008,63923
V,Otros,2009,66579
V,Otros,2010,68970
V,Otros,2011,70764
V,Otros,2012,72095
V,Otros,2013,73272
V,Otros,2014,74583
V,Otros,2015,75990
V,Otros,2016,76803
V,Otros,2017,77504
V,Otros,2018,78221
V,Otros,2019,78360
